region, city_town, egm_numbers_as_at_31_december_2018, lga_name, expenditure_1_jul_18_31_dec_18, venue_name, ven_type, postcode, long, objectid, lat
"Metro","MALVERN EAST",0,"City of Stonnington",121118,"EAST MALVERN RSL","Club",3145,145.0648956,232,-37.8733
"Metro","KILSYTH",19,"City of Maroondah",98504,"EASTWOOD GOLF CLUB","Club",3137,145.3148041,233,-37.8355
"Country","ECHUCA",30,"Shire of Campaspe",502201,"ECHUCA HOTEL","Hotel",3564,144.7458954,234,-36.1211
"Country","ECHUCA",84,"Shire of Campaspe",1561217,"ECHUCA WORKERS AND SERVICES CLUB","Club",3564,144.7514038,236,-36.1273
"Metro","CHELSEA",80,"City of Kingston",2310404,"EDITHVALE - CHELSEA RSL","Club",3196,145.1165009,237,-38.0504
"Metro","RESERVOIR",100,"City of Darebin",7003860,"EDWARDES LAKE HOTEL","Hotel",3073,144.9893951,238,-37.7155
"Country","WODONGA",80,"Rural City of Wodonga",2483005,"ELGIN'S","Hotel",3690,146.8842926,243,-36.1205
"Metro","ELWOOD",28,"City of Port Phillip",900636,"ELSTERNWICK HOTEL","Hotel",3184,144.9958954,246,-37.8832
"Metro","ELTHAM",40,"Shire of Nillumbik",2005533,"ELTHAM HOTEL","Hotel",3095,145.1466064,247,-37.7214
"Metro","EPPING",40,"City of Whittlesea",4323311,"EPPING HOTEL","Hotel",3076,145.0245056,252,-37.6493
"Metro","EPPING",100,"City of Whittlesea",10377774,"EPPING PLAZA HOTEL","Hotel",3076,145.0200043,253,-37.6533
"Metro","EPPING",45,"City of Whittlesea",2540780,"EPPING RSL","Club",3076,145.0211029,254,-37.6232
"Country","INVERLOCH",17,"Shire of Bass Coast",535190,"ESPLANADE HOTEL (INVERLOCH)","Hotel",3996,145.7286987,255,-38.6341
"Metro","ESSENDON",100,"City of Moonee Valley",2883238,"ESSENDON FOOTBALL & COMMUNITY SPORTING CLUB","Club",3040,144.9196014,257,-37.752
"Metro","THOMASTOWN",89,"City of Whittlesea",8610490,"EXCELSIOR HOTEL","Hotel",3074,145.0005951,261,-37.6926
"Country","DROUIN",28,"Shire of Baw Baw",1496672,"FAMILY HOTEL","Hotel",3818,145.857193,267,-38.1358
"Metro","FAWKNER",35,"City of Moreland",802518,"FAWKNER RSL","Club",3060,144.963501,269,-37.7152
"Metro","FERNTREE GULLY",34,"City of Knox",731627,"FERNTREE GULLY BOWLING CLUB","Club",3156,145.2870026,270,-37.8891
"Metro","FERNTREE GULLY",49,"City of Knox",1912749,"FERNTREE GULLY HOTEL","Hotel",3156,145.2971039,271,-37.889
"Metro","FAWKNER",64,"City of Moreland",5124417,"FIRST & LAST HOTEL","Hotel",3060,144.9624939,272,-37.7189
"Country","Warrnambool",8,"City of Warrnambool",117242,"FLYING HORSE BAR AND BREWERY","Hotel",3280,142.5332947,276,-38.3854
"Metro","OAKLEIGH",46,"City of Monash",2122997,"FORESTERS ARMS HOTEL","Hotel",3166,145.0914001,278,-37.8929
"Country","FOSTER",25,"Shire of South Gippsland",335924,"FOSTER GOLF CLUB","Club",3960,146.1958008,279,-38.655
"Metro","NARRE WARREN",85,"City of Casey",6712239,"FOUNTAIN GATE TAVERNER","Hotel",3805,145.3031006,280,-38.0187
"Metro","FRANKSTON",82,"City of Frankston",5167156,"FRANKSTON RSL","Club",3199,145.147995,282,-38.1508
"Metro","KEYSBOROUGH",30,"City of Kingston",864042,"FRECCIA AZZURRA CLUB","Club",3173,145.1412964,284,-38.0004
"Metro","THORNBURY",30,"City of Darebin",360411,"FURLAN CLUB","Club",3071,145.0279999,285,-37.7575
"Country","FYANSFORD",27,"City of Greater Geelong",842795,"FYANSFORD HOTEL","Hotel",3221,144.3099976,286,-38.1422
"Country","CORIO",50,"City of Greater Geelong",3330557,"GATEWAY HOTEL","Hotel",3214,144.3641968,288,-38.0806
"Country","BREAKWATER",105,"City of Greater Geelong",4443178,"GEELONG COMBINED LEAGUES CLUB","Club",3219,144.3811035,290,-38.1806
"Country","BELMONT",42,"City of Greater Geelong",1914683,"GEELONG RSL","Club",3216,144.3509064,292,-38.1734
"Country","BALLARAT",28,"City of Ballarat",720327,"GEORGE HOTEL","Hotel",3350,143.8574066,295,-37.5608
"Metro","TULLAMARINE",86,"City of Hume",9067489,"GLADSTONE PARK HOTEL","Hotel",3043,144.8831024,298,-37.6876
"Metro","SUNSHINE",50,"City of Brimbank",4342121,"GLENGALA HOTEL","Hotel",3020,144.8027039,299,-37.7866
"Metro","GLENROY",50,"City of Moreland",2767306,"GLENROY RSL","Club",3046,144.9196014,300,-37.7052
"Metro","MELTON",45,"Shire of Melton",4709664,"GOLDEN FLEECE HOTEL (MELTON)","Hotel",3337,144.5852966,304,-37.6833
"Metro","MELBOURNE",60,"City of Melbourne",4317142,"GOLDEN NUGGET","Hotel",3000,144.9687958,305,-37.8105
"Country","BALLARAT",22,"City of Ballarat",634592,"GOLF HOUSE HOTEL","Hotel",3350,143.8591003,306,-37.5417
"Country","PORTLAND",23,"Shire of Glenelg",862228,"GORDON HOTEL","Hotel",3305,141.6056061,307,-38.3496
"Country","SHEPPARTON",40,"City of Greater Shepparton",3689763,"GOULBURN VALLEY HOTEL","Hotel",3630,145.4060059,308,-36.3817
"Country","HAMILTON",40,"Shire of Southern Grampians",1834495,"GRAND CENTRAL HOTEL (HAMILTON)","Hotel",3300,142.0240021,309,-37.7429
"Metro","FRANKSTON",64,"City of Frankston",3317401,"GRAND HOTEL (FRANKSTON)","Hotel",3199,145.1206055,314,-38.1452
"Metro","MORNINGTON",70,"Shire of Mornington Peninsula",5359119,"GRAND HOTEL (MORNINGTON)","Hotel",3931,145.039093,315,-38.2198
"Country","TRARALGON",34,"City of Latrobe",2905985,"GRAND JUNCTION HOTEL","Hotel",3844,146.5381012,316,-38.1979
"Country","MILDURA",15,"Rural City of Mildura",629480,"GRAND ON DEAKIN","Hotel",3500,142.1688995,317,-34.1876
"Country","BAIRNSDALE",24,"Shire of East Gippsland",1141329,"GRAND TERMINUS HOTEL","Hotel",3875,147.6293945,318,-37.8275
"Country","NEWTOWN",36,"City of Greater Geelong",2326161,"GREAT WESTERN HOTEL","Hotel",3220,144.3350067,320,-38.1455
"Metro","KEILOR DOWNS",70,"City of Brimbank",3278350,"GREEN GULLY SOCCER CLUB","Club",3038,144.8179016,321,-37.7241
"Metro","GREENSBOROUGH",30,"City of Banyule",1550444,"GREENSBOROUGH HOTEL","Hotel",3088,145.1047058,323,-37.7028
"Metro","GREENSBOROUGH",78,"City of Banyule",2828468,"GREENSBOROUGH RSL","Club",3088,145.1054993,324,-37.7018
"Metro","SPRINGVALE",93,"City of Greater Dandenong",7478284,"GREYHOUNDS ENTERTAINMENT","Club",3171,145.1587067,326,-37.957
"Metro","ST KILDA",22,"City of Port Phillip",394003,"GROSVENOR HOTEL","Hotel",3182,144.9902954,327,-37.8722
"Country","GROVEDALE",80,"City of Greater Geelong",5980832,"GROVEDALE HOTEL","Hotel",3216,144.3414001,328,-38.2031
"Metro","HALLAM",80,"City of Casey",6417077,"HALLAM TAVERNER","Hotel",3803,145.2727051,330,-38.0067
"Metro","HAMPTON",30,"City of Bayside",399991,"HAMPTON BOWLS CLUB","Club",3188,145.0149994,332,-37.9373
"Metro","HAMPTON PARK",73,"City of Casey",7502665,"HAMPTON PARK TAVERN","Hotel",3976,145.2669067,334,-38.0344
"Metro","KEW EAST",47,"City of Boroondara",4664203,"HARP OF ERIN HOTEL","Hotel",3102,145.0514069,335,-37.7991
"Metro","HASTINGS",50,"Shire of Mornington Peninsula",1593640,"HASTINGS CRICKET & FOOTBALL SOCIAL CLUB","Club",3915,145.1869965,336,-38.2966
"Metro","FLEMINGTON",80,"City of Melbourne",1487701,"HEADQUARTERS TAVERN","Club",3031,144.9071045,338,-37.7891
"Metro","HEALESVILLE",50,"Shire of Yarra Ranges",1187700,"HEALESVILLE RSL","Club",3777,145.5211945,339,-37.6518
"Metro","HIGHETT",41,"City of Kingston",1306951,"HIGHETT RETURNED & SERVICES CLUB","Club",3190,145.0431976,345,-37.9499
"Metro","CRAIGIEBURN",80,"City of Hume",6853303,"HIGHLANDS HOTEL","Hotel",3064,144.9216003,346,-37.5748
"Metro","MARIBYRNONG",70,"City of Maribyrnong",3371794,"HIGHPOINT TAVERNER","Hotel",3032,144.8883057,347,-37.7731
"Metro","SPRINGVALE",90,"City of Greater Dandenong",8208588,"HIGHWAYS SANDOWN","Club",3171,145.1719971,348,-37.9475
"Country","TATURA",10,"City of Greater Shepparton",200146,"HILL TOP GOLF AND COUNTRY CLUB","Club",3616,145.2359924,349,-36.4329
"Country","WALLAN",45,"Shire of Mitchell",2452628,"HOGANS HOTEL","Hotel",3756,144.9803009,350,-37.4123
"Metro","HOPPERS CROSSING",91,"City of Wyndham",3271804,"HOPPERS CROSSING CLUB","Club",3029,144.6923981,352,-37.8693
"Metro","HOPPERS CROSSING",55,"City of Wyndham",2581369,"HOPPERS CROSSING SPORTS CLUB","Club",3029,144.6938934,353,-37.8628
"Country","HORSHAM",36,"Rural City of Horsham",1180343,"HORSHAM RSL","Club",3400,142.1999969,355,-36.7129
"Country","HORSHAM",83,"Rural City of Horsham",3009465,"HORSHAM SPORTS & COMMUNITY CLUB","Club",3400,142.1985931,356,-36.712
"Metro","TARNEIT",65,"City of Wyndham",5205444,"HOTEL 520 ON SAYERS","Hotel",3029,144.6891937,357,-37.8477
"Country","MORWELL",42,"City of Latrobe",2075936,"ITALIAN AUSTRALIAN SPORTING AND SOCIAL CLUB OF GIPPSLAND","Club",3840,146.433197,368,-38.2333
"Metro","WERRIBEE",70,"City of Wyndham",3322208,"ITALIAN SPORTS CLUB OF WERRIBEE","Club",3030,144.6475983,369,-37.884
"Metro","IVANHOE",85,"City of Banyule",5259321,"IVANHOE HOTEL","Hotel",3079,145.0419006,370,-37.7694
"Country","GEELONG",47,"City of Greater Geelong",2047952,"JOKERS ON RYRIE","Hotel",3220,144.3621063,374,-38.1498
"Metro","PRESTON",46,"City of Darebin",3272347,"JUNCTION HOTEL","Hotel",3072,145.0021057,375,-37.7511
"Country","KANGAROO FLAT",60,"City of Greater Bendigo",1078823,"KANGAROO FLAT SPORTS CLUB","Club",3555,144.2400055,377,-36.7937
"Metro","FRANKSTON",29,"City of Frankston",1177963,"KARINGAL BOWLING CLUB","Club",3199,145.1564941,378,-38.1372
"Metro","KEALBA",86,"City of Brimbank",10160755,"KEALBA HOTEL","Hotel",3021,144.8289032,379,-37.7471
"Metro","ESSENDON",39,"City of Moonee Valley",1186836,"KEILOR EAST RSL","Club",3040,144.8901062,380,-37.7525
"Metro","KEILOR",50,"City of Brimbank",2935768,"KEILOR HOTEL","Hotel",3036,144.8365021,382,-37.7193
"Country","KERANG",45,"Shire of Gannawarra",1054373,"KERANG SPORTS AND ENTERTAINMENT VENUE","Club",3579,143.9207001,386,-35.7348
"Metro","KEYSBOROUGH",89,"City of Greater Dandenong",9631084,"KEYSBOROUGH HOTEL","Hotel",3173,145.1622925,389,-37.9923
"Country","KILMORE",76,"Shire of Mitchell",3168807,"KILMORE TRACKSIDE","Club",3764,144.9611969,390,-37.2932
"Metro","HASTINGS",33,"Shire of Mornington Peninsula",2183376,"KINGS CREEK HOTEL","Hotel",3915,145.1842041,392,-38.2989
